plate_id,ra_deg,dec_deg
XE229,278.635875,42.113306
XE230,286.154125,42.216806
XE231,293.684625,42.316639
XE232,301.226875,42.411111
XE233,308.780250,42.498583
XE234,316.343833,42.577500
XE235,323.916667,42.646472
XE236,331.497375,42.704333
XE237,339.084500,42.750028
XE238,346.676625,42.782722
XE239,354.272000,42.801889
XE240,1.866583,36.807167
XE241,8.939417,36.799472
XE242,16.010917,36.779750
XE243,23.080000,36.748278
XE244,30.145583,36.705556
XE245,37.206625,36.652250
XE246,44.262167,36.589139
XE247,51.311458,36.517222
XE248,58.353667,36.437583
XE249,65.388250,36.351444
XE250,72.414750,36.260056
XE251,79.432708,36.164861
XE252,86.442000,36.067250
XE253,93.442542,35.968722
XE254,100.434375,35.870694
XE255,107.417708,35.774667
XE256,114.392792,35.682028
XE257,121.360042,35.594167
XE258,128.320083,35.512361
XE259,135.273417,35.437833
XE260,142.220833,35.371667
XE261,149.163042,35.314778
XE262,156.100917,35.268056
XE263,163.035375,35.232167
XE264,169.967292,35.207611
XE265,176.897708,35.194750
XE266,183.827500,35.193778
XE267,190.757708,35.204722
XE268,197.689333,35.227389
XE269,204.623292,35.261444
XE270,211.560542,35.306444
XE271,218.502000,35.361722
XE272,225.448500,35.426444
XE273,232.400875,35.499667
XE274,239.359708,35.580361
XE275,246.325792,35.667333
XE276,253.299583,35.759278
XE277,260.281542,35.854833
XE278,267.271958,35.952639
XE279,274.271083,36.051194
XE280,281.278958,36.149056
XE281,288.295542,36.244750
XE282,295.320625,36.336833
XE283,302.353917,36.423944
XE284,313.077708,33.410861
XE285,316.443083,36.577972
XE286,323.497708,36.642583
XE287,330.557917,36.697556
XE288,337.622833,36.742056
XE289,344.691417,36.775389
XE290,351.762625,36.797083
XE291,358.835292,36.806750
XE292,1.864625,30.807167
XE293,9.682833,30.797944
XE294,14.956708,30.805694
XE295,21.512625,30.698028
XE296,28.015583,30.736778
XE297,34.618000,30.672722
XE298,41.160708,30.617694
XE299,47.699292,30.554694
XE300,54.233292,30.484528
XE301,60.762292,30.408139
XE302,67.285875,30.326528
XE303,73.803875,30.240722
XE304,81.830458,30.130861
XE305,86.822125,30.061083
XE306,93.322250,29.969556
XE307,99.816458,29.878472
XE308,106.304792,29.789000
XE309,112.787417,29.702250
XE310,119.264708,29.619361
XE311,125.736833,29.541389
XE312,132.197333,29.432889
XE313,138.667458,29.404028
XE314,145.126792,29.346389
XE315,151.582792,29.297111
XE316,158.036083,29.256806
XE317,164.487208,29.226000
XE318,170.936750,29.205083
XE319,177.385333,29.194278
XE320,183.833542,29.193778
XE321,190.282042,29.203556
XE322,196.731458,29.223472
XE323,203.182375,29.253333
XE324,209.635458,29.292694
XE325,216.091167,29.341111
XE326,222.550167,29.397972
XE327,229.012917,29.462528
XE328,235.479958,29.533972
XE329,241.951625,29.611417
XE330,248.428375,29.693861
XE331,254.910417,29.780278
XE332,261.398208,29.869528
XE333,267.891792,29.960528
XE334,274.391375,30.052056
XE335,280.896917,30.142944
XE336,287.408458,30.232056
XE337,293.925875,30.318194
XE338,300.448917,30.400278
XE339,306.977417,30.477250
XE340,313.510917,30.548056
XE341,320.049083,30.611806
XE342,326.591375,30.667667
XE343,333.137292,30.714889
XE344,339.686125,30.752861
XE345,346.237333,30.781111
XE346,352.790125,30.799222
XE347,359.343875,30.806972
XE348,1.862833,24.807194
XE349,8.404375,24.800472
XE350,14.945250,24.783389
XE351,21.484958,24.756194
XE352,28.022875,24.719222
XE353,34.558542,24.672972
XE354,41.091458,24.618000
XE355,47.621208,24.555083
XE356,54.147458,24.485028
XE357,60.669750,24.408694
XE358,67.187958,24.327139
XE359,73.678667,24.238333
XE360,80.211000,24.152583
XE361,86.715708,24.061833
XE362,93.215750,23.970306
XE363,99.711167,23.879194
XE364,106.202125,23.789694
XE365,112.688667,23.702889
XE366,119.171083,23.619944
XE367,125.649583,23.541889
XE368,132.124458,23.469722
XE369,138.596042,23.404361
XE370,145.064708,23.346639
XE371,151.530833,23.297278
XE372,157.994833,23.256917
XE373,164.457208,23.226056
XE374,170.918333,23.205083
XE375,177.378750,23.194278
XE376,183.838917,23.193778
XE377,190.299250,23.203556
XE378,196.760333,23.223528
XE379,203.222542,23.253417
XE380,209.686417,23.292861
XE381,216.152292,23.341361
XE382,222.620708,23.398278
XE383,229.091958,23.462944
XE384,235.566500,23.534472
XE385,242.044625,23.611972
XE386,248.526667,23.694500
XE387,255.012792,23.780972
XE388,261.503292,23.870278
XE389,267.998250,23.961278
XE390,274.497875,24.052806
XE391,281.002083,24.143667
XE392,287.510917,24.232750
XE393,294.024292,24.318833
XE394,300.542042,24.400861
XE395,307.064000,24.477722
XE396,313.589792,24.548472
XE397,320.119250,24.612139
XE398,326.651875,24.667917
XE399,333.187292,24.715056
XE400,339.725000,24.752972
XE401,346.264542,24.781167
XE402,352.805333,24.799250
XE403,359.346833,24.806972
XE404,1.861250,18.807194
XE405,7.889375,18.801389
XE406,13.917083,18.786750
XE407,19.944083,18.763444
XE408,25.970083,18.731750
XE409,31.994708,18.692000
XE410,38.017750,18.644667
XE411,44.038958,18.590250
XE412,50.058000,18.529333
XE413,56.074750,18.462611
XE414,62.089000,18.390833
XE415,68.100625,18.314806
XE416,74.109500,18.235306
XE417,80.115500,18.153250
XE418,86.118667,18.069528
XE419,92.118958,17.985083
XE420,98.116333,17.900806
XE421,104.110958,17.817639
XE422,110.102792,17.736500
XE423,116.092042,17.658250
XE424,122.078792,17.583750
XE425,128.063167,17.513806
XE426,134.045458,17.449194
XE427,140.025750,17.390611
